ID,Answer
0,白色羽毛
1,《諸羅縣志》
2,袁晁
3,柏林陸軍學院
4,一局特殊的決勝局結束一盤比賽
5,孫銘武
6,1884年
7,西漢的版圖向西擴張
8,巴黎
9,起到醜化對手
10,周星馳
11,三中老
12,整個站體都位於天橋上的車站
13,科學的傳奇
14,2004年
15,硫化氫
16,華萊士
17,外面的部份溫度會比內部核心的低
18,經濟
19,100公里
20,愛爾蘭語
21,荷蘭
22,硫磺
23,塞爾維亞反對黨
24,1910年代
25,外交活動
26,拉丁文
27,猶太基督徒
28,1964年
29,校長霍克菲爾德
30,文化大革命爆發
31,《希臘、羅馬名人傳》
32,灣仔
33,東南
34,形容一種無限制的、自私、而野蠻的競爭情況
35,1964年
36,新北市
37,小白宮
38,沒有任何示威申請得到當局通過
39,南人
40,宋端宗
41,四千名
42,46億年
43,1070年
44,國民養老保險法
45,四牌樓
46,1929年
47,全息照片郵票
48,1932年
49,大型購物中心[UNK]開幕後
50,康熙帝
51,武漢水利電力大學
52,1960年代
53,亞歷山大一世被刺殺
54,紐約市
55,基督教
56,預覽阿爾法版本
57,100萬
58,新北市
59,佔領行動
60,路易十五
61,中國國民黨
62,中生代侏羅紀
63,阿拉貢國王卡洛斯三世
64,熱帶雨林氣候
65,意圖完全擺脫漢朝的控制
66,蔣中正
67,東漢
68,前三點起落架
69,弘治十二年
70,中國
71,1996年
72,社會主義
73,氦
74,經過依納爵長久的薰陶，沙勿略的思想也逐漸改變了，便加入了追隨依納爵的行列
75,都市高速公路、城際高速公路、其他的快速道路。在中國，因為行政管理體制的區別，公路是由交通運輸部
76,信百貨公司大樓
77,朱少文
78,羽柴秀吉
79,俾斯麥
80,金泳三
81,1958年
82,靈魂
83,科龍港
84,蓋爾人
85,十二平均律
86,西漢元封二年
87,隋滅南陳
88,佛教
89,1861年
90,豐臣秀吉
91,三吳地區
92,以色列
93,大躍進運動
94,武漢水利電力大學
95,蘇利南
96,1934年
97,檸檬酸咖啡因療法
98,1913年
99,1949年
100,大象
101,1915年
102,1813年
103,有絲分裂
104,美國
105,高盧帝國收復
106,仁祖
107,十個
108,佛學論書
109,臺中高農
110,歐登堡
111,三天
112,1944年
113,安娜·德·薩伏伊
114,咸豐帝
115,哈林河
116,孟加拉
117,韓國當代音樂分為傳統音樂和西洋音樂
118,中原
119,60
120,威廉·洛厄爾·普特南
121,中華人民共和國主席
122,德國人
123,陳寅恪
124,陽原王
125,複雜及未標準化
126,二千九百公尺，垂直高四百公尺
127,1939年
128,害怕德軍在東線戰線上沒有足夠兵力應付俄國
129,福建林家
130,用來運貨
131,公民權
132,西人黨
133,2015年
134,臺北
135,查莫洛人
136,杭縣
137,蘇聯國旗
138,38%
139,1941年
140,多腔磁控管雷達技術
141,點石齋畫報
142,南越地區
143,1988年
144,上吊方式
145,吉米卡特
146,朗蔚之
147,《布告各省公啟》
148,阿拉里克
149,德蘇戰爭
150,髒層
151,工業國家
152,1949年
153,西德
154,清光緒十七年
155,「雕像」
156,持續政治與社會上的強勢控制
157,65000平方公里
158,乙醚
159,唐太宗
160,卡爾梅克人
161,1969年10月17日
162,63位
163,副大法官，那個時代典型的裙帶關係。1468年，領受鐸品成為神父，然後在1471年，祝聖為天主教阿爾巴諾羅馬城郊教區主教
164,古希臘時代
165,盧安達語
166,自政府填海造地
167,蔣中正
168,農民
169,網景通訊公司
170,8月30日
171,1999年
172,《天淨沙》
173,七十年代
174,公元68年
175,趙佗
176,腦
177,岑智明
178,普魯士大獲全勝
179,公元前362年
180,創建強力政府
181,28歲
182,2000年10月
183,保加利亞
184,三大優點：便利使用
185,10度
186,自由黨
187,亞非
188,波士頓
189,1992年
190,下旋球
191,箱館裁判所
192,明朝
193,文藝復興
194,2000年
195,1998年
196,道縣玉蟾岩
197,德國
198,森林
199,阿森納女子足球俱樂部
200,多黨制
201,較有消費能力的居民
202,1920年
203,美元
204,多倫多
205,在軌道上驅動列車
206,彌爾
207,中央情報局
208,艾瑪·史東
209,在時域上數學形式為連續函式的訊號
210,韓國風格，然後傳播到日本
211,亞歷山大一世
212,威尼斯影展
213,熱帶
214,新北市
215,聯盟合作
216,甲午戰爭
217,克孜勒
218,主持一線工作
219,好在歷史是人民寫的
220,美觀
221,南屯區
222,西部
223,1982年
224,1449年
225,王朝、神靈和上天
226,塔特拉山的格爾拉赫峰
227,國立廣東大學
228,美國發明家
229,2006年
230,沒有
231,《人體器官移植條例》
232,1262年
233,為增加米、糖等農作物產量
234,三倍
235,耗盡了核心的氫燃料，質量大於0.4太陽質量
236,颱風
237,2016年
238,1968年
239,第六
240,「第一所美式大學」
241,鋁土礦
242,萬神廟
243,布農族
244,黑死病
245,2007年
246,赫爾伯特·查普曼
247,受到社會普遍的譴責
248,2009年
249,芝加哥公牛隊
250,溥[UNK]
251,副主席
252,決勝局必定是單數局
253,廣東省政府委員會
254,韓國遊戲
255,1951年
256,漢語拼音方案
257,1984年
258,高架車站
259,下薩克森邦
260,法蘭西第二帝國
261,為菲律賓富商工作的工資
262,全勝
263,利用小型雷達測距儀追蹤目標的距離，協助飛行員找到最佳射擊時機，提高一般飛行員的命中率
264,哥白尼日心說
265,濃度低
266,汪東興
267,明朝
268,1848年
269,1954年
270,1997年
271,共同民主黨
272,《南華早報》
273,麻痺嗅覺神經
274,佛像
275,阿聯
276,交通基建
277,步兵師
278,田川氏
279,以天狼星在東方地平線的出現
280,自律心肌細胞
281,1961年
282,德語地區
283,離島機場
284,1237年
285,君士坦丁
286,晉恭帝
287,奧地利
288,美國律師協會
289,1654年
290,清代
291,美川王
292,胡安·林茲
293,日本
294,1967年
295,較老的
296,司馬休之
297,鈣離子
298,383年
299,羅納爾迪尼奧
300,秦軍對峙[UNK]水
301,火山活動
302,利奧三世
303,拉丁字母
304,要提升飛機的飛行安全，降低因為鋼纜或者是滑輪等裝置失效導致失去控制的問題
305,丁基羥基甲苯
306,中緬大戰
307,斯德哥爾摩
308,第三紀中新世
309,中華民國
310,高麗時期
311,靳雲鵬
312,1958年
313,《馬德里議定書》
314,1083種
315,曹魏故都智慧之旅
316,亞德港
317,布爾什維克革命
318,金本位制度
319,邊沁
320,感光細胞
321,1928年
322,商品期貨
323,十多個
324,300美元
325,楊宇霆
326,貴州省最大的體育場所[UNK]「貴陽市體育場」。發展體育之事，在當時的民眾看來，雖然是件新鮮事，但並沒有得到民眾的一致認同
327,元世祖
328,混合動力自行車
329,數學
330,亞熱帶季風氣候
331,經濟
332,長度
333,朱一貴
334,從事農業生產
335,失分
336,銃炮
337,1959年
338,1980年代
339,凱·艾維州長
340,[UNK]人國
341,1980年
342,希伯來文
343,第四心音
344,2010年
345,武漢
346,1868年
347,托土拉島
348,中華民國
349,倫敦大學
350,1970年代中期
351,岡仁波齊峰
352,1972年
353,突厥語民族
354,三菱重工業長崎造船廠
355,南斯拉夫社會主義聯邦共和國
356,以達到成為非洲主要經濟體的目標
357,硫
358,與丹尼索瓦人混血
